StarID,JH
2402,1.584
2403,2.283
2405,1.558
2406,1.563
2409,1.537
2411,1.593
2413,1.663
2414,1.58
2415,1.56
2416,1.725
2418,1.608
2420,1.593
2422,1.599
2423,1.661
2428,1.503
2434,1.635
2435,1.563
2440,1.52
2444,1.505
2445,1.605
2450,1.593
2452,1.541
2453,1.633
2454,1.577
2461,1.638
2463,1.603
2464,1.619
2467,1.582
2474,1.595
2475,1.6
2478,1.535
2495,1.533
2496,1.539
2507,1.569
2508,1.558
2509,1.554
2512,1.533
2513,1.58
2515,1.684
2516,1.721
2517,1.593
2528,1.549
2532,1.527
2534,1.541
2539,1.63
2540,1.514
2541,1.523
2543,1.557
2554,1.505
2555,1.506
2559,1.636
2561,1.588
2564,1.584
2566,1.628
2567,1.595
2579,1.558
2580,1.522
2582,1.53
2586,1.541
2592,1.506
2593,1.6
2594,1.519
2596,1.536
2599,1.518
2602,1.678
2609,1.501
2611,1.504
2612,1.532
2613,1.518
2618,1.655
2622,1.534
2624,1.537
2625,1.599
2626,1.546
2627,1.655
2629,1.644
2630,1.537
2631,1.591
2633,1.502
2634,1.543
2639,1.597
2645,1.507
2646,1.572
2650,1.546
2657,1.616
2659,1.5
2660,1.581
2662,1.643
2663,1.612
2665,1.805
2666,1.775
2667,1.571
2668,1.568
2669,1.642
2671,1.532
2673,1.578
2675,1.524
2679,1.553
2681,1.66
2682,1.581
2683,1.603
2684,1.567
2691,1.568
2696,1.504
2697,1.742
2698,1.531
2705,1.549
2706,1.593
2709,1.641
2714,1.537
2719,1.616
2728,1.514
2730,1.569
2734,1.547
2735,1.872
2736,1.717
2737,1.649
2738,1.576
2739,1.578
2740,1.501
2746,1.528
2754,1.586
2759,1.601
2761,1.505
2768,1.956
2775,1.628
2776,1.511
2777,1.567
2778,1.614
2781,1.565
2783,1.708
2785,1.952
2789,1.548
2794,1.505
2798,1.591
2799,1.556
2802,1.584
2805,1.513
2818,1.551
2819,1.508
2822,1.617
2826,1.609
2832,1.506
2834,1.557
2839,1.548
2844,1.51
2846,1.521
2851,1.523
2852,1.552
2853,1.778
2857,1.506
2858,1.634
2861,1.615
2863,1.596
2867,1.53
2880,1.704
2882,1.675
2884,1.659
2887,1.536
2890,1.536
2893,1.52
2900,1.521
2906,1.562
2907,1.88
2908,1.538
2909,1.64
2910,1.55
2919,1.74
2920,1.542
2921,1.548
2923,1.57
2927,1.756
2930,1.552
2933,1.595
2935,1.512
2938,1.52
2939,1.725
2940,1.615
2942,2.079
2945,1.537
2948,1.533
2950,1.733
2951,1.585
2952,1.512
2958,1.508
2960,1.507
2961,1.537
2964,1.639
2967,1.535
2969,1.536
2971,1.504
2972,1.68
2978,1.511
2982,1.519
2983,1.572
2990,1.601
2991,1.562
2993,1.516
2994,1.784
2995,1.603
2996,1.564
2997,1.512
2998,1.925
2999,1.844
3001,1.564
3005,1.566
3006,1.536
3019,1.54
3020,1.662
3021,1.528
3032,1.511
3041,1.577
3045,1.575
3059,1.507
3060,1.603
3061,1.543
3064,1.697
3067,1.68
3073,1.598
3074,1.544
3075,1.554
3076,1.506
3078,1.58
3082,1.528
3085,1.606
3089,1.514
3096,1.601
3101,1.559
3103,1.5
3106,1.782
3111,1.501
3112,1.636
3115,1.58
3121,1.609
3122,1.57
3124,1.568
3129,1.508
3130,1.554
3131,1.522
3133,1.526
3134,1.703
3135,1.897
3136,1.575
3138,1.61
3139,1.504
3145,1.535
3146,1.592
3147,1.528
3152,1.585
3153,1.592
3154,1.566
3159,1.654
3160,1.633
3162,1.755
3163,1.553
3164,1.528
3165,1.532
3166,1.562
3167,1.578
3175,1.533
3179,1.529
3182,1.574
3183,1.512
3185,1.568
3190,1.806
3191,1.583
3195,1.528
3200,1.739
3201,1.551
3203,1.542
3204,1.615
3205,1.556
3208,1.51
3215,1.536
3218,1.907
3223,1.573
3227,1.538
3228,1.661
3229,1.511
3230,1.517
3232,1.517
3233,1.527
3246,1.63
3247,1.519
3251,1.51
3253,1.659
3256,1.518
3257,1.613
3259,1.561
3262,1.515
3263,1.519
3264,1.565
3267,1.534
3272,1.547
3275,1.667
3276,1.521
3281,1.557
3282,1.543
3285,1.521
3294,1.581
3295,1.6
3300,1.566
3305,1.552
3308,1.539
3314,1.509
3316,1.562
3336,1.514
3338,1.608
3342,1.541
3343,1.56
3345,1.539
3347,1.664
3348,1.618
3353,1.531
3354,1.525
3358,1.511
3364,1.503
3365,1.541
3369,1.62
3372,1.531
3373,1.518
3375,1.54
3384,1.582
3385,1.501
3386,1.522
3389,1.55
3391,1.601
3392,1.519
3401,1.568
3403,1.526
3409,1.521
3412,1.52
3418,1.524
3422,1.59
3425,1.505
3427,1.53
3431,1.539
3432,1.556
3433,1.531
3434,1.551
3437,1.535
3442,1.528
3443,1.753
3446,1.588
3447,1.671
3448,1.565
3449,1.62
3451,1.589
3463,1.6
3464,1.677
3465,1.522
3469,1.618
3470,1.597
3476,1.528
3479,1.574
3485,1.569
3488,1.516
3491,1.648
3492,1.764
3494,1.63
3496,1.546
3497,1.516
3501,1.508
3510,1.522
3513,1.533
3514,1.501
3515,1.508
3517,1.776
3518,1.675
3521,1.572
3522,1.53
3523,1.51
3530,1.594
3535,1.686
3540,1.766
3542,1.596
3543,1.593
3545,1.516
3546,1.573
3548,1.547
3550,1.573
3551,1.634
3552,1.539
3553,1.54
3558,1.523
3566,1.519
3568,1.549
3570,1.589
3571,1.562
3572,1.512
3574,1.581
3579,1.579
3581,1.563
3584,1.546
3586,1.615
3601,1.756
3602,1.679
3603,1.629
3605,1.522
3606,1.632
3607,1.631
3608,1.878
3609,1.562
3611,1.531
3613,1.504
3616,1.716
3617,1.633
3618,1.547
3622,1.554
3623,1.504
3625,1.5
3628,1.677
3632,1.52
3633,1.501
3634,1.511
3635,1.532
3641,1.61
3644,1.556
3645,1.539
3646,1.505
3650,1.58
3653,1.536
3659,1.545
3661,1.501
3666,1.588
3668,1.591
3670,1.601
3671,1.625
3672,1.566
3673,1.595
3674,1.872
3675,1.628
3676,1.535
3677,1.618
3678,1.578
3680,1.548
3683,1.713
3684,1.514
3685,1.5
3690,1.501
3691,1.593
3693,1.569
3694,1.507
3695,1.559
3697,1.536
3698,1.576
3699,1.56
3702,1.617
3703,1.514
3704,1.767
3705,1.555
3706,1.553
3707,1.606
3708,1.589
3709,1.55
3711,1.503
3717,1.512
3718,1.604
3729,1.667
3733,1.793
3734,1.513
3736,1.642
3737,1.685
3747,1.519
3757,1.527
3760,1.557
3761,1.974
3762,1.565
3771,1.606
3774,1.594
3775,1.54
3787,1.632
3788,1.517
3789,1.548
3794,1.559
3795,1.604
3798,1.515
3799,1.523
3801,1.538
3803,1.588
3804,1.547
3805,1.612
3808,1.524
3815,1.591
3826,1.524
3828,1.525
3831,1.541
3832,1.598
3836,1.531
3851,1.894
3853,1.51
3857,1.526
3858,1.502
3859,1.525
3865,1.616
3870,1.52
3882,1.507
3883,1.548
3884,1.522
3885,1.573
3887,1.518
3888,1.543
3889,1.536
3892,1.545
3893,1.569
3901,1.863
3904,1.519
3905,1.565
3915,1.579
3916,1.639
3918,1.562
3919,1.581
3920,1.519
3927,1.518
3934,1.589
3935,1.503
3943,1.506
3945,1.526
3947,1.519
3948,1.503
3950,1.666
3951,1.659
3956,1.521
3957,1.579
3959,1.535
3960,1.919
3961,1.533
3962,1.584
3966,1.52
3968,1.942
3969,1.586
3970,1.639
3974,1.545
3975,1.686
3978,1.599
3983,1.583
3989,1.527
4000,1.505
4001,1.582
4011,1.569
4012,1.851
4018,1.578
4023,1.608
4025,1.525
4038,1.658
4043,1.671
4044,1.578
4045,1.535
4046,1.513
4047,1.567
4048,1.604
4049,1.628
4052,1.598
4053,1.544
4054,1.525
4056,1.51
4057,1.547
4061,1.515
4067,1.509
4068,1.549
4070,1.51
4071,1.529
4076,1.513
4077,1.564
4079,1.526
4080,1.545
4081,1.583
4083,1.516
4084,1.545
4085,1.529
4097,1.539
4098,1.586
4100,1.594
4106,1.586
4109,1.993
4110,1.6
4111,1.697
4113,1.559
4114,1.6
4115,1.599
4116,1.52
4117,1.509
4120,1.608
4121,1.636
4130,1.597
4134,1.604
4136,1.575
4143,1.619
4146,1.535
4147,1.624
4152,1.58
4153,1.663
4157,1.582
4159,1.584
4160,1.544
4161,1.621
4165,1.554
4169,1.626
4172,1.55
4173,1.699
4175,1.578
4176,1.553
4177,1.631
4179,1.539
4180,1.566
4183,1.582
4188,1.532
4190,1.577
4205,1.588
4210,1.52
4212,1.578
4214,1.562
4216,1.69
4217,1.592
4219,1.564
4220,1.543
4221,1.595
4222,1.554
4223,1.53
4227,1.53
4230,1.517
4232,1.563
4238,1.543
4240,1.598
4241,1.684
4242,1.804
4243,1.595
4246,1.526
4250,1.588
4252,1.595
4254,1.53
4260,1.556
4261,1.679
4263,1.519
4265,1.727
4269,1.541
4271,1.58
4272,1.532
4273,1.529
4278,1.513
4281,1.518
4282,1.637
4283,1.557
4285,1.538
4287,1.541
4290,1.52
4291,1.502
4301,1.522
4304,1.626
4305,1.558
4308,1.673
4310,1.52
4312,1.623
4314,1.653
4315,1.514
4317,1.56
4318,1.636
4325,1.506
4331,1.528
4337,1.617
4338,1.625
4340,1.502
4341,1.631
4344,1.579
4348,1.546
4350,1.636
4351,1.529
4352,1.543
4358,1.536
4363,1.518
4364,1.783
4365,1.564
4366,1.868
4367,1.584
4368,1.561
4370,2.045
4371,1.587
4372,1.818
4373,1.709
4374,1.773
4379,1.591
4381,1.583
4382,1.663
4383,1.587
4386,1.558
4389,1.54
4393,1.668
4394,1.505
4396,1.561
4397,1.63
4398,1.657
4399,1.683
4400,1.552
4401,1.857
4403,1.802
4404,1.669
4405,1.727
4407,1.532
4408,1.676
4410,1.797
4411,1.605
4412,1.891
4414,1.528
4415,1.602
4416,1.737
4417,1.596
4418,1.619
4421,1.716
4422,1.674
4423,1.877
4424,1.536
4425,1.59
4427,1.664
4428,1.69
4429,1.568
4430,1.636
4431,1.698
4432,1.598
4433,1.628
4434,1.84
4435,1.539
4437,1.728
4438,1.642
4439,1.533
4440,1.505
4441,1.66
4442,1.648
4447,1.548
4451,1.593
4453,1.557
4455,1.571
4460,1.601
4469,1.517
4473,1.502
4478,1.598
4480,1.511
4485,1.623
4486,1.571
4488,1.523
4489,1.521
4493,1.552
4494,1.522
4504,1.567
4510,1.564
4512,1.524
4516,1.551
4518,1.585
4519,1.506
4527,1.571
4528,1.524
4531,1.503
4532,1.502
4533,1.512
4534,1.528
4535,1.522
4537,1.528
4542,1.618
4543,1.503
4546,1.505
4554,1.502
4559,1.514
4580,1.525
4582,1.592
4586,1.522
4590,1.534
4592,1.522
4593,1.657
4595,1.607
4596,1.544
4597,1.583
4602,1.505
4604,1.844
4607,1.521
4613,1.624
4614,1.5
4619,1.51
4621,1.609
4624,1.513
4629,1.506
4631,1.533
4639,1.548
4640,1.503
4647,1.515
4648,1.595
4649,1.542
4650,1.528
4655,1.527
4659,1.527
4661,1.505
4669,1.553
4672,1.503
4673,1.621
4681,1.561
4683,1.534
4684,1.61
4689,1.587
4694,1.506
4695,1.593
4696,1.515
4699,1.506
4700,1.628
4704,1.516
4707,1.582
4712,1.659
4714,1.512
4716,1.593
4718,1.546
4719,1.533
4721,1.502
4722,1.583
4723,1.668
4724,1.765
4727,1.597
4728,1.784
4729,1.61
4733,1.57
4734,1.553
4737,1.576
4738,1.515
4739,1.565
4740,1.567
4741,1.568
4742,1.665
4744,1.556
4745,1.747
4749,1.636
4750,1.62
4752,1.703
4754,1.508
4755,1.604
4762,1.706
4773,1.544
4776,1.506
4780,1.63
4783,1.635
4785,1.825
4786,1.711
4815,1.8
4816,1.532
4817,1.503
4819,1.505
4822,1.536
4825,1.533
4837,1.546
4839,1.524
4846,1.511
4847,1.788
4848,1.713
4850,1.571
4865,1.525
4867,1.608
4868,1.722
4869,1.614
4870,1.692
4871,1.565
4872,1.569
4873,1.594
4876,1.536
4877,1.548
4882,1.621
4883,1.618
4892,1.579
4894,1.58
4895,1.565
4896,1.529
4897,1.601
4898,1.629
4899,1.522
4901,1.556
4904,1.546
4905,1.572
4907,1.502
4916,1.673
4920,1.5
4930,1.708
4933,1.504
4934,1.587
4938,1.509
4943,1.686
4951,1.51
4955,1.84
4960,1.545
4967,1.569
4968,1.581
4969,1.582
4975,1.571
4977,1.643
4980,1.639
4982,1.607
4983,1.56
4984,1.507
4985,1.604
4986,1.556
4987,1.533
4989,1.594
4990,1.584
4991,1.695
4992,1.919
4993,1.569
4994,1.616
4995,1.681
4996,1.823
4998,1.524
5000,1.543
5001,1.519
5005,1.585
5007,1.519
5011,1.535
5013,1.515
5020,1.503
5022,1.566
5023,1.585
5024,1.532
5026,1.52
5027,1.523
5029,1.503
5030,1.517
5035,1.509
5050,1.575
5051,1.511
5052,1.536
5075,1.502
5083,1.574
5089,1.507
5090,1.584
5107,1.552
5109,1.547
5115,1.55
5116,1.897
5118,1.553
5119,1.557
5125,1.787
5129,1.585
5133,1.532
5149,1.567
5150,1.622
5152,1.557
5153,1.656
5155,1.54
5156,1.506
5158,1.627
5161,1.51
5163,1.848
5164,1.617
5168,1.562
5169,1.607
5178,1.566
5180,1.785
5182,1.887
5183,1.684
5185,1.5
5187,1.594
5190,1.874
5200,1.512
5207,1.563
5208,1.55
5212,1.514
5215,2.014
5221,1.668
5223,1.621
5224,1.6
5227,1.567
5238,1.534
5240,1.53
5249,1.564
5251,1.518
5252,1.526
5254,1.526
5256,1.532
5257,1.536
5259,1.505
5260,1.604
5266,1.536
5276,1.503
5282,1.539
5283,1.585
5288,1.531
5291,1.515
5295,1.575
5300,1.544
5306,1.541
5314,1.534
5317,1.525
5319,1.574
5320,1.568
5323,1.505
5328,1.528
5329,1.552
5330,1.583
5331,1.546
5335,1.531
5339,1.549
5341,1.512
5344,1.611
5346,1.542
5348,1.509
5349,1.592
5350,1.513
5357,1.585
5359,1.578
5365,1.548
5366,1.514
5367,1.653
5370,1.518
5371,1.534
5376,1.565
5378,1.547
5379,1.549
5382,1.737
5383,1.506
5387,1.509
5393,1.501
5399,1.531
5404,1.524
5405,1.569
5406,1.514
5417,1.542
5419,1.562
5422,1.558
5426,1.515
5428,1.527
5435,1.54
5437,1.554
5438,1.676
5439,1.559
5440,1.536
5444,1.536
5450,1.625
5451,1.549
5454,1.503
5463,1.502
5469,1.503
5470,1.551
5478,1.783
5479,1.619
