StarID,JH
0,2.451
1,2.191
2,1.946
4,1.573
5,2.345
6,2.057
7,1.849
9,1.708
10,1.666
11,1.584
12,1.524
13,1.664
14,1.518
15,2.341
16,1.787
18,1.618
21,1.696
22,1.611
23,1.569
24,1.645
25,1.581
28,1.53
29,1.603
30,1.644
32,1.516
34,1.556
35,1.535
36,1.606
37,1.613
38,1.561
39,1.534
41,1.61
43,1.543
44,1.544
46,1.589
47,1.568
48,1.587
50,1.53
52,1.546
54,2.255
55,1.574
56,1.52
59,1.583
60,1.636
61,1.554
62,1.664
64,1.705
65,1.999
66,1.63
68,1.552
69,1.539
72,1.603
77,2.64
78,1.62
79,1.658
81,1.742
82,1.657
83,1.717
84,1.591
87,1.712
88,1.615
89,1.645
90,1.743
92,1.823
93,1.555
96,1.877
98,1.545
99,1.534
100,1.778
103,1.508
104,1.6
105,1.522
107,1.648
108,1.748
110,1.663
111,1.572
112,1.924
113,1.631
114,1.668
115,1.564
116,1.521
117,1.528
118,1.701
119,1.634
120,1.594
121,1.621
122,1.575
123,1.571
127,1.509
132,1.511
133,2.584
135,1.546
138,2.1
139,1.58
141,1.557
147,1.689
148,1.574
149,1.536
152,1.655
153,1.544
154,1.588
159,1.63
163,1.7
164,1.543
165,1.557
168,1.766
169,1.626
170,1.606
172,1.671
173,1.597
175,1.614
176,1.565
177,1.704
178,1.522
186,1.724
187,1.668
190,1.703
193,1.527
194,1.652
195,1.558
196,1.503
199,1.504
200,1.516
201,1.539
202,1.851
203,1.512
204,1.658
205,1.529
208,2.579
209,1.542
211,1.616
212,1.853
213,1.789
216,1.574
217,1.79
218,1.739
219,1.636
221,1.612
222,1.618
223,1.621
225,1.734
226,1.614
227,1.576
230,2.808
239,1.583
241,1.525
243,1.562
244,1.519
247,1.557
250,1.58
254,1.561
256,1.562
257,1.532
259,1.6
260,1.504
263,1.81
265,1.689
266,1.596
267,1.606
268,1.551
271,1.626
273,1.513
277,1.806
278,1.605
279,1.697
282,1.548
284,1.66
289,1.531
292,1.676
294,1.514
301,2.504
303,1.609
304,2.136
306,1.612
307,1.6
309,1.538
310,1.592
311,1.522
314,1.585
315,1.57
324,2.383
326,1.563
328,1.512
330,1.753
331,1.752
338,1.774
339,1.743
340,1.503
341,1.776
342,1.579
343,1.547
344,1.686
345,1.531
346,1.536
347,1.556
350,1.756
351,1.574
352,1.644
353,1.674
354,1.552
357,1.503
358,1.613
360,1.524
363,1.613
364,1.891
365,1.66
366,1.586
367,1.504
369,1.655
373,1.562
374,1.62
375,1.505
383,1.596
384,1.533
385,1.514
386,1.578
388,1.675
389,1.54
392,1.614
398,1.553
399,1.599
400,1.595
401,1.586
406,1.556
407,1.599
411,1.639
412,1.647
415,1.931
418,1.787
422,1.609
423,1.606
424,1.568
426,1.69
428,1.73
429,1.573
436,1.525
437,1.546
439,1.546
440,1.564
443,1.512
444,1.68
445,1.571
446,1.612
448,1.595
451,1.552
452,1.535
457,1.591
458,1.564
463,1.587
464,1.544
466,1.531
468,1.571
469,1.537
474,1.564
476,1.555
478,1.551
480,1.542
481,1.634
482,1.667
485,1.669
486,1.549
488,1.546
491,1.525
494,1.542
500,1.691
508,1.624
509,1.53
510,1.57
514,1.512
515,1.67
516,1.623
517,1.697
518,1.637
519,1.767
520,1.658
521,1.579
522,1.599
523,1.511
533,1.566
534,1.596
535,1.522
537,1.639
538,1.631
539,1.647
540,1.552
541,1.549
543,1.506
544,1.517
548,1.58
550,1.551
551,1.519
555,1.517
556,1.631
557,1.609
558,1.533
559,1.58
561,1.601
564,1.575
565,1.531
567,1.519
573,1.614
574,1.55
575,1.538
576,1.609
577,1.613
578,1.679
579,1.651
581,1.624
589,1.602
590,1.568
592,1.59
594,1.553
597,1.549
600,1.633
601,1.612
603,1.553
605,1.536
606,1.562
609,1.689
610,1.693
614,1.57
616,1.581
617,1.505
618,1.564
620,1.678
621,1.601
624,1.554
625,1.606
629,1.72
631,1.538
632,1.643
634,1.609
635,2.661
638,1.508
641,1.691
642,1.612
643,1.521
648,1.593
652,1.519
655,1.608
658,1.639
659,1.56
662,1.76
663,1.575
668,1.639
669,1.548
670,2.189
673,1.598
678,1.519
679,1.77
680,1.663
681,1.596
683,1.636
685,1.625
686,1.53
688,1.551
691,1.524
698,1.543
701,1.576
702,1.605
703,1.503
705,1.505
708,1.505
709,1.5
713,1.57
715,1.969
716,1.519
718,1.585
722,1.655
723,1.571
724,1.574
725,1.658
734,1.577
735,1.666
736,1.545
738,1.607
739,1.563
740,1.55
742,1.603
743,1.63
744,1.527
745,1.531
746,1.579
747,1.56
750,1.535
751,1.547
753,1.512
758,1.558
759,1.618
760,1.549
763,1.529
765,1.612
766,1.571
767,1.596
770,1.55
774,1.543
783,1.587
785,1.577
786,1.517
788,1.617
791,1.597
794,1.523
797,1.564
798,1.526
799,1.535
800,1.66
802,1.645
803,1.538
805,1.582
806,1.521
807,1.779
808,1.645
809,1.611
811,1.602
817,1.558
821,1.726
823,1.533
826,1.511
827,2.111
830,1.515
831,1.632
832,1.526
835,1.734
836,1.802
837,1.65
839,1.67
840,1.52
841,2.14
844,1.514
846,1.58
851,1.585
853,1.551
854,1.52
856,1.546
859,1.636
860,1.553
861,1.512
864,1.52
870,1.608
871,1.602
872,1.573
873,1.947
885,1.518
887,1.513
895,1.524
896,1.557
899,1.509
901,1.584
909,1.52
912,1.528
920,1.618
921,1.531
923,1.626
924,1.887
925,1.786
926,1.514
927,1.603
928,1.576
930,1.542
931,1.616
932,1.512
933,1.59
934,1.79
935,1.612
939,1.535
941,1.528
943,1.703
944,1.559
946,1.627
948,1.563
949,1.502
950,2.278
951,1.763
952,1.622
953,1.617
954,1.68
955,3.204
956,1.677
957,1.636
958,1.508
959,1.51
960,1.55
961,1.666
962,1.625
963,1.561
968,1.581
971,1.506
974,1.61
976,1.576
986,1.717
990,1.565
991,1.572
992,1.625
993,1.595
994,1.73
997,1.703
999,1.591
1001,1.68
1002,1.638
1003,1.658
1005,1.633
1007,1.672
1008,1.669
1009,1.786
1011,1.827
1015,1.784
1016,1.561
1018,1.552
1020,1.574
1022,1.565
1025,1.655
1026,1.748
1030,1.526
1044,1.657
1045,1.751
1046,1.542
1053,1.63
1055,1.656
1056,1.614
1058,1.645
1060,1.569
1061,1.53
1062,1.575
1063,1.644
1071,1.567
1076,1.526
1077,1.517
1080,1.538
1081,1.516
1083,1.64
1086,1.554
1091,1.615
1092,1.502
1094,1.678
1095,1.567
1097,1.725
1099,1.732
1102,1.689
1104,1.56
1105,1.592
1108,1.627
1110,1.628
1111,1.563
1113,1.512
1117,1.514
1118,1.669
1119,1.581
1121,1.557
1123,1.603
1124,1.571
1125,1.525
1127,1.737
1128,1.685
1129,1.827
1133,1.506
1134,1.598
1135,1.511
1136,1.595
1137,1.554
1139,1.501
1140,1.596
1143,1.551
1150,1.594
1151,1.509
1155,1.581
1156,1.781
1158,1.745
1159,1.635
1160,1.653
1161,1.573
1169,1.593
1173,1.535
1180,1.55
1181,1.645
1182,1.562
1183,1.519
1184,1.575
1185,1.522
1186,1.505
1187,1.503
1189,1.546
1191,1.627
1192,1.581
1198,1.534
1204,1.529
1205,1.568
1206,1.995
1207,1.516
1209,1.593
1210,1.576
1213,1.673
1216,1.537
1218,1.588
1219,1.57
1220,1.566
1221,1.511
1222,1.699
1226,1.5
1228,1.637
1229,1.558
1230,1.54
1231,1.525
1234,1.651
1238,1.537
1240,1.511
1241,1.527
1242,1.591
1247,1.53
1248,1.559
1252,1.503
1261,1.581
1262,1.536
1263,2.201
1264,1.576
1265,1.618
1267,1.54
1269,1.6
1273,1.578
1275,1.548
1276,1.646
1277,1.758
1281,1.822
1283,1.539
1289,1.51
1291,1.515
1292,1.575
1294,1.53
1297,1.501
1303,1.662
1306,1.561
1307,1.531
1308,1.575
1309,1.51
1311,1.596
1312,1.511
1314,1.522
1317,1.558
1321,1.626
1322,1.646
1325,1.593
1329,1.526
1331,1.502
1333,1.654
1334,1.616
1335,1.693
1336,1.557
1337,1.542
1339,1.528
1340,1.502
1341,1.539
1342,1.616
1350,1.574
1351,1.619
1360,1.586
1363,1.544
1364,1.613
1365,1.563
1371,1.539
1372,1.556
1374,1.633
1376,1.559
1385,1.737
1388,1.585
1393,1.511
1398,1.675
1399,1.541
1400,1.5
1408,1.555
1416,1.645
1420,1.605
1422,1.714
1425,1.77
1426,1.579
1427,1.561
1428,1.596
1429,1.517
1430,1.811
1433,1.655
1434,1.612
1437,1.6
1438,1.537
1442,1.586
1443,1.576
1445,1.604
1446,1.548
1447,1.622
1448,1.551
1449,1.577
1452,1.56
1458,1.518
1459,1.521
1461,1.539
1462,1.54
1463,1.532
1466,1.564
1468,1.516
1470,1.526
1476,1.622
1478,1.653
1481,1.65
1482,1.607
1484,1.553
1485,1.674
1486,1.556
1487,1.654
1488,1.845
1493,1.535
1494,1.637
1495,1.574
1496,1.572
1497,1.607
1500,1.635
1501,1.853
1503,1.531
1507,1.601
1508,1.575
1509,1.526
1511,1.616
1512,1.644
1513,1.622
1516,1.579
1517,1.54
1520,1.516
1523,1.549
1524,1.635
1525,1.593
1527,1.506
1530,1.643
1531,1.592
1532,1.63
1535,1.562
1539,1.584
1541,1.973
1542,1.665
1543,1.567
1544,1.749
1545,1.561
1546,1.565
1549,1.54
1556,1.531
1560,1.62
1561,1.576
1562,1.672
1563,1.526
1564,1.566
1567,1.54
1568,1.505
1569,1.523
1575,1.543
1580,1.504
1581,1.518
1582,1.559
1586,1.509
1587,1.561
1588,1.562
1591,1.561
1592,1.669
1593,1.764
1594,1.627
1595,1.597
1597,1.522
1598,1.53
1599,1.75
1600,1.519
1604,1.634
1606,1.651
1607,1.609
1608,1.65
1611,1.52
1612,1.507
1614,1.7
1621,1.511
1628,1.652
1629,1.581
1631,1.569
1632,1.679
1634,1.559
1636,2.658
1637,1.506
1638,1.52
1643,1.693
1645,1.553
1647,1.521
1652,1.584
1659,1.506
1662,1.767
1664,1.545
1666,1.518
1668,1.55
1670,1.506
1678,1.502
1684,1.606
1685,1.649
1686,1.625
1688,1.553
1689,1.514
1690,1.954
1691,1.562
1693,1.659
1695,1.523
1696,1.632
1697,1.552
1708,1.517
1709,1.537
1712,1.594
1714,1.555
1716,1.521
1719,1.524
1720,1.569
1722,1.547
